formatted_address,name,rating,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,big_list_name,adelaide?,south_australia?,sa?,australia?
"13335 100th Ave NE, Kirkland, WA 98034, United States",Citibank ATM,2.0,47.7204188,-122.2082944,47.72176832989273,-122.2068783201073,47.71906867010728,-122.2095779798927,True,citi,-1,-1,-1,-1
"46 Queen Street West, Levin 5510, New Zealand",AXA New Zealand,0.0,-40.6201938,175.2833505,-40.61888492010728,175.2846715298928,-40.62158457989272,175.2819718701073,,axa amp,-1,-1,-1,-1
"ANZ Commercial Building, 33 Ave Lane Xang, Vientiane, Laos",Galileo by Travelport,0.0,17.9661112,102.6133629,17.96747322989272,102.6147045298927,17.96477357010728,102.6120048701073,,galileo anz,-1,-1,-1,-1
"600 University St, Seattle, WA 98101, United States",AXA Equitable,2.8,47.6097565,-122.3321198,47.61085307989271,-122.3309872201073,47.60815342010727,-122.3336868798927,,axa,-1,-1,-1,-1
"Falls Creek VIC 3699, Australia",Falls Creek,,-36.8646894,147.279182,-36.817838,147.3455795,-36.9401293,147.1433463,,falls creek,-1,-1,-1,22
"2877 Chad Dr Unit B, Eugene, OR 97408, United States",Parties To Go,3.8,44.0908847,-123.0642266,44.09227477989273,-123.0625579701072,44.08957512010728,-123.0652576298927,True,the party for economic management,-1,-1,-1,-1
"62-66 King St, Melbourne VIC 3004, Australia",York Butter Factory,0.0,-37.81872440000001,144.9571353,-37.81740672010728,144.9583784798927,-37.82010637989272,144.9556788201073,,victorian coworking enterprise york butter factory,-1,-1,-1,35
"23 Killafaddy Rd, St Leonards TAS 7250, Australia",Sanyou - Tasmanian Baijiu,0.0,-41.4404425,147.1753627,-41.43895432010728,147.1768034298927,-41.44165397989272,147.1741037701073,True,sanyou baijiu co,-1,-1,-1,40
"2026 NW Market St, Seattle, WA 98107, United States",Kangaroo & Kiwi,4.2,47.6688924,-122.3834057,47.67014357989272,-122.3820446701073,47.66744392010727,-122.3847443298927,True,kangaroos,-1,-1,-1,-1
"28 Tomsey Ct, Adelaide SA 5000, Australia",Palas Jewellery Administration Office,5.0,-34.931509,138.615848,-34.93015562010727,138.6172782798927,-34.93285527989272,138.6145786201073,True,palas jewellery,14,-1,23,32
"Level 1/5 Pirie St, Adelaide SA 5000, Australia",Rundle Mall Management,0.0,-34.9258329,138.6002013,-34.92443702010727,138.6015469298927,-34.92713667989272,138.5988472701073,True,mall management authority,20,-1,29,38
