tech,link,title,date_,publisher_,source_type_,business_index_term
satellite technology,https://www.proquest.com/anznews/docview/2538801090/6F564745A9754A21PQ/34?accountid=14649,New GM canola withstands herbicides,"Jun 9, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2472185011/6F564745A9754A21PQ/35?accountid=14649,Boost for disaster comms,"Dec 24, 2020",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2472184518/6F564745A9754A21PQ/36?accountid=14649,Boost for disaster comms,"Dec 24, 2020",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2540546077/6F564745A9754A21PQ/37?accountid=14649,Big push for rural and regional industries to adopt digital technologies,"Jun 15, 2021",Fairfax Media Publications Pty Limited,Newspaper,"['Machine learning;', 'Startups;', 'Performance management']"
satellite technology,https://www.proquest.com/anznews/docview/2540546065/6F564745A9754A21PQ/38?accountid=14649,Big push for rural and regional industries to adopt digital technologies,"Jun 15, 2021",Fairfax Media Publications Pty Limited,Newspaper,"['Machine learning;', 'Startups;', 'Performance management']"
satellite technology,https://www.proquest.com/anznews/docview/2519530086/6F564745A9754A21PQ/39?accountid=14649,Race is on for reliable robotic weapons,"Apr 30, 2021",Nationwide News Pty Ltd,Newspaper,['Defense industry']
satellite technology,https://www.proquest.com/anznews/docview/2551277852/6F564745A9754A21PQ/40?accountid=14649,Tried and trusted regrowth control,"Jul 15, 2021",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2476215592/6F564745A9754A21PQ/41?accountid=14649,A colourful character goes for gold,"Jan 9, 2021",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2284172906/6F564745A9754A21PQ/42?accountid=14649,City with the Lot Fourteen,"Sep 5, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2284160854/6F564745A9754A21PQ/43?accountid=14649,City with the Lot Fourteen,"Sep 5, 2019",Nationwide News Pty Ltd,Newspaper,
