formatted_address,name,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,rating,opening_hours.open_now,adelaide?,south_australia?,australia?,sa?,big_list_name
"8RCC+6F6, Bulevardi DÃÂ«shmorÃÂ«t e Kombit, TiranÃÂ« 1001, Albania",europe green energy,41.3205287,19.8211112,41.32183897989272,19.82221487989272,41.31913932010728,19.81951522010728,0.0,,-1,-1,-1,-1,epuron energy
"177 Central Way, Kirkland, WA 98033, United States",u.s. bank branch,47.6766594,-122.2060693,47.67798327989271,-122.2048633701073,47.67528362010727,-122.2075630298928,2.9,True,-1,-1,-1,-1,us bn bn
"2025 1st Ave, Seattle, WA 98121, United States",thrive washington,47.6113722,-122.343703,47.61286952989272,-122.3423317701073,47.61016987010727,-122.3450314298927,5.0,True,-1,-1,-1,-1,the washington post
"1218 3rd Ave #800, Seattle, WA 98101, United States",thrive by five washington,47.6077346,-122.3354766,47.60917442989272,-122.3342387701073,47.60647477010728,-122.3369384298927,0.0,,-1,-1,-1,-1,thrive by five
"516 3rd Ave Room W382, Seattle, WA 98104, United States",king county superior court,47.6024378,-122.3309053,47.60381332989272,-122.3296467701073,47.60111367010727,-122.3323464298927,3.2,True,-1,-1,-1,-1,industry super fund cbus
"Level 5/100 Market St, Sydney NSW 2000, Australia",australian securities and investments commission,-33.8706548,151.2087275,-33.86924532010728,151.2102041298927,-33.87194497989272,151.2075044701073,2.0,True,-1,-1,40,-1,the australian securities and investments commission
"4570 Avery Ln SE #337, Lacey, WA 98503, United States",the tronie foundation,46.9988965,-122.8257772,47.00019317989272,-122.8243462701073,46.99749352010727,-122.8270459298927,0.0,,-1,-1,-1,-1,the eros foundation
"21 Hampton St, Roebourne WA 6718, Australia",yindjibarndi aboriginal corporation,-20.77102,117.14401,-20.76967762010727,117.1450922798927,-20.77237727989272,117.1423926201073,5.0,False,-1,-1,34,-1,the yindjibarndi aboriginal corporation
"Nanutarra Wittenoom Rd, Mount Sheila WA 6751, Australia",fmg solomon hub,-22.1129862,117.8827311,-22.11134122010728,117.8842166298927,-22.11404087989272,117.8815169701073,4.0,,-1,-1,46,-1,the solomon hub
"334A Marrickville Rd, Marrickville NSW 2204, Australia","office of the hon anthony albanese mp, federal member for grayndler",-33.9099545,151.1549007,-33.90866102010727,151.1562150298927,-33.91136067989272,151.1535153701073,3.7,True,-1,-1,45,-1,the australian federal government
"38 Sydney Ave, Forrest ACT 2603, Australia",australian national audit office,-35.3119241,149.130017,-35.31061837010728,149.1313178798927,-35.31331802989273,149.1286182201073,5.0,True,-1,-1,33,-1,the australian national audit office
"10015 NE 137th St, Kirkland, WA 98034, United States",party for less inc,47.7226246,-122.2060595,47.72396372989272,-122.2047272701073,47.72126407010727,-122.2074269298927,4.3,True,-1,-1,-1,-1,plastic forests
"1159 Sonora Ct Suite 345, Sunnyvale, CA 94086, United States",united states green vehicle council,37.3717023,-121.9992519,37.37303942989272,-121.9979592201073,37.37033977010727,-122.0006588798927,0.0,,-1,-1,-1,-1,the electric vehicle council
"14450 NE 29th Pl Suite 113, Bellevue, WA 98007, United States",teal group technologies,47.6327811,-122.1477184,47.63412747989272,-122.1462877201073,47.63142782010727,-122.1489873798927,5.0,True,-1,-1,-1,-1,digital technologies
"338 Lawrence Hargrave Dr, Clifton NSW 2515, Australia",clifton school of arts,-34.2597525,150.9692753,-34.25844947010728,150.9706878798927,-34.26114912989272,150.9679882201073,4.3,,-1,-1,44,-1,the clifton school of arts committee
"Wollongong NSW, Australia",wollongong,-34.4248336,150.8931132,-34.2513408,150.9738661,-34.6286016,150.7439448,,,-1,-1,16,-1,wollongong council
"WH36+8M2, Garh Maharaja Road, Layyah, Punjab, Pakistan",zhenfa solar project,30.9032549,71.5616453,30.90469672989272,71.56300482989272,30.90199707010727,71.56030517010727,4.0,True,-1,-1,-1,-1,the kidston solar project
"8512 122nd Ave NE, Kirkland, WA 98033, United States",purified water to go,47.6796212,-122.1773523,47.68096312989272,-122.1760932701073,47.67826347010728,-122.1787929298927,4.8,True,-1,-1,-1,-1,price waterhouse coopers
"Central Park, 152-158 St Georges Terrace, Perth WA 6000, Australia",australian securities exchange,-31.953761,115.8556254,-31.95264052010727,115.8567341798927,-31.95534017989272,115.8540345201073,3.0,True,-1,-1,57,-1,the australian securities exchange
"Level 4, North Tower, Rialto, 525 Collins St, Melbourne VIC 3000, Australia",asx,-37.8188616,144.957602,-37.81769772010728,144.9589729298928,-37.82039737989273,144.9562732701073,4.1,True,-1,-1,66,-1,asx
"2012 Edgefield Dr, Bellingham, WA 98229, United States",peak sustainability group,48.7126878,-122.4479235,48.71394882989272,-122.4465707701073,48.71124917010728,-122.4492704298927,0.0,True,-1,-1,-1,-1,brisbane sustainability agency
"34 W 7th Ave #320, Vancouver, BC V5Y 1L6, Canada",bc ndp,49.2644788,-123.1058086,49.26593502989272,-123.1044448201073,49.26323537010728,-123.1071444798927,3.6,False,-1,-1,-1,-1,abc pm
"IFE House, 64-66 Cygnet Court, Timothy's Bridge Rd, Stratford-upon-Avon CV37 9NW, United Kingdom",the institution of fire engineers,52.2052073,-1.7288607,52.20636567989272,-1.727828220107278,52.20366602010728,-1.730527879892722,5.0,False,-1,-1,-1,-1,the institute of fire engineers
"4760 N Oakland St #500, Denver, CO 80239, United States",national transportation safety board,39.7836651,-104.8499508,39.78502727989272,-104.8486007201073,39.78232762010728,-104.8513003798927,0.0,,-1,-1,-1,-1,the national transportation safety board
"490 L'Enfant Plaza SW, Washington, DC 20024, United States",national transportation safety,38.8837343,-77.02445469999999,38.88518752989272,-77.02316547010727,38.88248787010728,-77.02586512989271,5.0,,-1,-1,-1,-1,the national transportation safety board
"65 Martin Pl, Sydney NSW 2000, Australia",reserve bank of australia,-33.8681834,151.2116746,-33.86665922010727,151.2130647298927,-33.86935887989272,151.2103650701073,2.8,True,-1,-1,31,-1,western australia
"10 Binara St, Canberra ACT 2601, Australia","department of industry, science and resources",-35.2821462,149.1341304,-35.28053427010727,149.1352854298927,-35.28323392989272,149.1325857701073,4.7,True,-1,-1,33,-1,department of industry science energy and resources
"8703 191st Pl SW, Edmonds, WA 98026, United States",schneider electric inc,47.82631629999999,-122.3508873,47.82756712989272,-122.3494792201073,47.82486747010728,-122.3521788798927,4.2,,-1,-1,-1,-1,schneider electric s
"300 5th Ave #1130, Seattle, WA 98104, United States",us labor department-wage & hour division,47.60208739999999,-122.3273848,47.60339137989273,-122.3260764701073,47.60069172010728,-122.3287761298927,0.0,False,-1,-1,-1,-1,the department for education
