link,tech,person,nationality,building,organization,country,location,product,event,money
https://www.proquest.com/anznews/docview/2468394006/68A587A7EB9B45C7PQ/201?accountid=14649,data analytics,"dragan gasevic, roberto martinez maldonado, gasevic, george siemens, siemens",australian,,"aap medianet, the faculty of information technology, monash university, the university of south australia, the university of technology sydney, the university of wollongong, the university of queensland, the university of sydney, the centre for learning analytics, the centre for change and complexity in learning",australia,,,,billions of dollars
https://www.proquest.com/anznews/docview/2485962644/68A587A7EB9B45C7PQ/202?accountid=14649,data analytics,"mathan somasundaram, somasundaram, joe biden, nick scali, nick scali s","australian, asian, democrats, republican, west australians, aussie, japanese",,"reserve bank, qantas alliance, qantas, alliance, bhp, fortescue, rio tinto","australia, us, melbourne, adelaide, darwin",,,,
https://www.proquest.com/anznews/docview/2554785761/68A587A7EB9B45C7PQ/203?accountid=14649,data analytics,"kasy chambers, alex hassall",australians,,ipsos,"nsw victoria, south australia, anglicare, australia, sydney",,,,
https://www.proquest.com/anznews/docview/2461820804/68A587A7EB9B45C7PQ/204?accountid=14649,data analytics,"mathan somasundaram, somasundaram, gregory goodman","australian, aussie, south australians, us, japanese",,"nab, westpac, suncorp, goodman, bluescope, rio tinto","victoria, us, adelaide, sa",,,,"more than  us cents, one australian dollar"
https://www.proquest.com/anznews/docview/2464501408/68A587A7EB9B45C7PQ/205?accountid=14649,data analytics,"mathan somasundaram, somasundaram, andrew burnes, stephen gardiner, ayten saridas, gardiner","australian, americans, aussie, chinese",,"treasury wine estate, bega cheese, bega, lion dairy drinks, helloworld, westpac, bhp, fortescue, the reserve bank s","us, china, victoria, south australia",parafield cluster,,,
https://www.proquest.com/anznews/docview/2251581687/68A587A7EB9B45C7PQ/206?accountid=14649,data analytics,"steven marshall, marshall, alex pentland",australian,"lot fourteen innovation precinct, lot fourteen cbd innovation precinct, the lot fourteen innovation precinct, the old royal adelaide hospital","mit, massachusetts institute of technology, the australian space agency","adelaide, south australia s, south australia, new york, beijing",australia,,,
https://www.proquest.com/anznews/docview/2698981963/F20B1B72372F42A4PQ/1?accountid=14649,crowd funding,"shaw, pat shaw",europe,,"shaw cycles, fifa","ballarat, adelaide",,,"the scody cup, the national road series, the tour de femme women s tour de france, commonwealth and olympic games",
https://www.proquest.com/anznews/docview/2686393126/F20B1B72372F42A4PQ/2?accountid=14649,crowd funding,"matt vitale, mike smith, rob chapman, angus irwin, vitale","australians, south australian, australian",,"birchal, equity co, australian, zero co, square peg capital, byron bay company, montu, neutrog, investor capital, the weekend australian, equitise, spinifex brewing co, hero packaging, swarmer, beauhurst","australia, adelaide, uk",,,,
https://www.proquest.com/anznews/docview/2462433701/F20B1B72372F42A4PQ/3?accountid=14649,crowd funding,"heather croall, croall, david holman, carla anita mattiazzo, mattiazzo",,,"lumo energy sa, the catchelorette",,,,,
https://www.proquest.com/anznews/docview/2669181237/F20B1B72372F42A4PQ/4?accountid=14649,crowd funding,"mhelody polan, bruno, mhelody, rian ross toyer, mhelody bruno, toyer, lamson, toyar, gordon lerve, lerve, maria bruno, he toyer, maria, mhelody polan bruno, eloise brook, brook, ned murdered, courtney herron, courtney, john herron, henry richard hammond, hammond, john, thomas embling, alicia, charles mckenzie ross evans, evans, lee little, lee, alicia evans, bradley wayne jones, saori, padma raman, anrows raman, alicia little, beau taplin, shae francis, shae, janine francis, janine, jason cooper, cooper, mark ryan, ryan, shae s, shannon fentiman, fentiman, trenton cunningham, cunningham, jacinta price, neil nalarra, marika, kate worden, worden, queenie hart, steven henry kiem, queenie, kiem, margaret kirstenfeldt, margaret, amy mcquire, lewis orcher, mcquire, cherbourg, janey hart, janey, debbie west, janice, robyn, frescura, janet, frankie sullivan, sullivan, janene devine s, janene, devine, janene s, margaret cannard, ralph simmonds, janet lois mackozdi, jassy anglin, michael anglin, anglins, olivia mctaggart, mctaggert, anglin, mackozdi, gloria reilly, damian reilly, reilly, gloria, samantha connor, connor, phil cleary, phil, vicki cleary, vicki, peter keogh, keogh, cleary, our watch, patty kinnersly, kinnersly, hayley foster, foster, sherele moody, sherele","philippines, christian, australian, australians, victorian, evans, non indigenous, gamilaroi, tasmanian, aussie, lgbtqi","tarcutta street, royal park, scenic parklands, the hervey bay hospital, cornwallis circuit, mt lloyd","nsw, abc, the gender centre, lgbtiq, dpp, national research organisation for women s safety, the gender centre s, the office of the director of public prosecutions, nsw police, the department of communities and justice djc, dcj, thomas embling forensic mental health facility, the department of corrections, qps, women s safety and justice taskforce, the disability royal commission, news corp","australia, wagga wagga, manilla, philippines, surigao del sur, makati city, nsw, melbourne, parkville, fairfield, kyneton, queensland, alicia, courtney, shepparton, hervey bay, queensland s, brisbane, victoria, the sunshine state, gray, rockhampton, sarina, darambul, cherbourg, tasmania, the apple isle, geraldton, coburg, tasmania wa, south australia","fraser coast, torres strait islander, the coburg peninsula, the northern territory, the fitzroy river, mangroves, lakes creek, south sea",,,
https://www.proquest.com/anznews/docview/2687897825/F20B1B72372F42A4PQ/5?accountid=14649,crowd funding,"matt vitale, mike smith, rob chapman, angus irwin, vitale","south australian, australian",,"birchal, equity co, sobah, zero co, montu, neutrog, investor capital, equitise, spinifex brewing co, hero packaging, swarmer","australia, adelaide, uk",,,,
