tech,link,title,date_,publisher_,source_type_,business_index_term
artificial intelligence,https://www.proquest.com/anznews/docview/2669731550/38C549A391024716PQ/23?accountid=14649,SA’s fastest moving companies unveiled,"May 27, 2022",Nationwide News Pty Ltd,Newspaper,['Machine learning']
artificial intelligence,https://www.proquest.com/anznews/docview/2701595416/38C549A391024716PQ/24?accountid=14649,"ON YOUR MARK, GET SET, GROW","Aug 14, 2022",Nationwide News Pty Ltd,Newspaper,"['Digital currencies;', 'Artificial intelligence;', 'Startups;', 'Employees;', 'Supermarkets;', 'Venture capital']"
artificial intelligence,https://www.proquest.com/anznews/docview/2723851359/38C549A391024716PQ/25?accountid=14649,AI tech helps assess grain quality quicker,"Oct 13, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Artificial intelligence']
artificial intelligence,https://www.proquest.com/anznews/docview/2679310754/38C549A391024716PQ/26?accountid=14649,SA ag tech projects share in $700k of funding,"Jun 23, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Wineries & vineyards']
artificial intelligence,https://www.proquest.com/anznews/docview/2722909859/38C549A391024716PQ/27?accountid=14649,AI tech to help assess grain quality quicker,"Oct 10, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Artificial intelligence']
artificial intelligence,https://www.proquest.com/anznews/docview/2718681778/38C549A391024716PQ/28?accountid=14649,Feral cat update returns more positive results,"Sep 29, 2022",Fairfax Media Publications Pty Limited,Newspaper,['Artificial intelligence']
artificial intelligence,https://www.proquest.com/anznews/docview/2689363533/38C549A391024716PQ/29?accountid=14649,THE LIST,"Jul 15, 2022",Nationwide News Pty Ltd,Newspaper,"['Careers;', 'Startups;', 'Venture capital']"
artificial intelligence,https://www.proquest.com/anznews/docview/2662041945/38C549A391024716PQ/30?accountid=14649,Students awarded grants,"May 12, 2022",Fairfax Media Publications Pty Limited,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2714775474/38C549A391024716PQ/31?accountid=14649,All on deck for Oz subs build,"Sep 16, 2022",Nationwide News Pty Ltd,Newspaper,['Artificial intelligence']
artificial intelligence,https://www.proquest.com/anznews/docview/2681623660/38C549A391024716PQ/32?accountid=14649,APP TO DATE,"Jun 29, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2721872284/38C549A391024716PQ/33?accountid=14649,AI alerts surgeons to cancer,"Oct 7, 2022",Nationwide News Pty Ltd,Newspaper,['Artificial intelligence']
artificial intelligence,https://www.proquest.com/anznews/docview/2696527419/38C549A391024716PQ/34?accountid=14649,"Domo arigato, Mr Roboto, but go easy on the fingers","Jul 31, 2022",Nationwide News Pty Ltd,Newspaper,['Artificial intelligence']
