LGA_Name,Beach_FID,Beach_Name,Width_B,Length_B,Patrolled_B,Width_S,Length_S,Patrolled_S,Close_S
Byron,37,Kings 1,30,100,No,30,100,No,No
Byron,38,Kings 2,60,250,No,60,250,No,No
Byron,39,Brays,100,250,No,100,250,No,No
Byron,40,Whites,50,350,No,50,350,No,No
Ballina,41,Seven Mile  / Lennox Head,100,8500,Yes,100,8500,Yes,No
Ballina,42,Boulder North,60,600,No,60,600,No,No
Ballina,43,Boulder South / Iron Peg,30,100,No,30,100,No,No
Ballina,44,Sharpes,90,1300,Yes,90,1300,Yes,No
Ballina,45,Angels North,100,925,Yes,100,925,Yes,No
Ballina,46,Angels South,70,700,No,70,700,No,No
Ballina,47,Shelly,90,700,Yes,90,700,Yes,No
Ballina,48,Lighthouse,150,700,Yes,150,700,Yes,No
Ballina,49,South Ballina,160,4950,No,160,4950,No,No
Ballina,50,Beswicks,100,2930,No,100,2930,No,No
Ballina,51,Robins,120,2500,No,120,2500,No,No
Ballina,52,Patches,100,7500,No,100,7500,No,No
Richmond Valley,53,Broadwater,100,4700,No,100,4700,No,No
Richmond Valley,54,Airforce,120,4550,No,120,4550,No,No
Richmond Valley,55,Evans Head,150,2880,Yes,150,2880,Yes,No
Richmond Valley,56,Razorback / Shark Bay / Little,80,120,No,80,120,No,No
Richmond Valley,57,Red Hill,40,150,No,40,150,No,No
Richmond Valley,58,Chinamans North,100,100,No,100,100,No,No
Richmond Valley,59,Chinamanâs South,100,1000,No,100,1000,No,No
Richmond Valley,60,New Zealand ,50,625,No,50,625,No,No
Clarence Valley,61,Ten Mile,140,26,No,140,26,No,No
Clarence Valley,62,Shark Bay ,110,2500,No,110,2500,No,No
Clarence Valley,63,Woody Bay,50,1200,No,50,1200,No,No
Clarence Valley,64,Woody Back,100,1350,No,100,1350,No,No
Clarence Valley,65,Frazer Reef,100,150,No,100,150,No,No
Clarence Valley,66,Iluka Bluff,60,1200,Yes,60,1200,Yes,No
Clarence Valley,67,Iluka,180,2600,No,180,2600,No,No
Clarence Valley,68,Moriartys Wall,20,500,No,20,500,No,No
Clarence Valley,69,Iluka Wall  (Wave Trap),30,200,No,30,200,No,No
Clarence Valley,70,Turners,200,375,Yes,200,375,Yes,No
Clarence Valley,71,Whiting ,20,700,No,20,700,No,No
Clarence Valley,72,Yamba Main,80,250,Yes,80,250,Yes,No
Clarence Valley,73,Convent,40,100,No,40,100,No,No
Clarence Valley,74,Pippi,120,1600,Yes,120,1600,Yes,No
Clarence Valley,75,Barri ,120,1500,No,120,1500,No,No
Clarence Valley,76,Green Point Cove,50,250,No,50,250,No,No
Clarence Valley,77,Angourie / Spooky ,60,440,No,60,440,No,No
Clarence Valley,78,Angourie Point ,35,100,No,35,100,No,No
Clarence Valley,79,Back Angourie ,140,1500,No,140,1500,No,No
Clarence Valley,80,Little Shelly,20,125,No,20,125,No,No
Clarence Valley,81,Shelly,60,800,No,60,800,No,No
Clarence Valley,82,Caves,70,2600,No,70,2600,No,No
Clarence Valley,83,Plumbago,140,2800,No,140,2800,No,No
Clarence Valley,84,Red Cliff,60,250,No,60,250,No,No
Clarence Valley,85,Brooms Head Main ,120,4500,Yes,120,4500,Yes,No
Clarence Valley,86,North Sandon,180,7300,No,180,7300,No,No
Clarence Valley,87,Sandon River,5,300,No,5,300,No,No
Clarence Valley,88,Little Pebbly,15,100,No,15,100,No,No
Clarence Valley,89,Pebbly  (Clarence),25,375,No,25,375,No,No
Clarence Valley,90,Hatchcover,15,150,No,15,150,No,No
Clarence Valley,91,Sandon / Illaroo,130,9200,No,130,9200,No,No
Clarence Valley,92,Illaroo South ,40,200,No,40,200,No,No
Clarence Valley,93,Rocky Point,30,250,No,30,250,No,No
Clarence Valley,94,Minnie Water Main,100,1400,Yes,100,1400,Yes,No
Clarence Valley,95,Pipers Hill / Boat Harbour,40,125,No,40,125,No,No
Clarence Valley,96,Tree Point 1,15,50,No,15,50,No,No
Clarence Valley,97,Tree Point 2,35,150,No,35,150,No,No
Clarence Valley,98,Tree Point 3,30,100,No,30,100,No,No
Clarence Valley,99,Minnie Water Back ,100,2900,No,100,2900,No,No
Clarence Valley,100,Diggers Camp Nth / Where Ever  ,80,300,No,80,300,No,No
Clarence Valley,101,Diggers Camp,70,500,No,70,500,No,No
Clarence Valley,102,Stony ,30,150,No,30,150,No,No
Clarence Valley,103,Wilsons / Bare ,25,200,No,25,200,No,No
Clarence Valley,104,Wooli,90,6600,Yes,90,6600,Yes,No
Clarence Valley,105,Jones,140,750,No,140,750,No,No
Clarence Valley,106,Barcoongere Rocks North,30,100,No,30,100,No,No
Clarence Valley,107,Barcoongere Rocks South,50,300,No,50,300,No,No
Clarence Valley,108,Freshwater ,40,2700,No,40,2700,No,No
Coffs Harbour,109,Pebbly  (Coffs Harbour,50,900,No,50,900,No,No
Coffs Harbour,110,Station Creek,150,4300,No,150,4300,No,No
Coffs Harbour,111,Little  (Coffs Harbour),50,200,No,50,200,No,No
Coffs Harbour,112,Red Rock,60,5200,Yes,60,5200,Yes,No
Coffs Harbour,113,Corindi North,50,350,No,50,350,No,No
Coffs Harbour,114,Corindi,130,3200,Yes,130,3200,Yes,No
Coffs Harbour,115,Arrawarra Beach,60,750,No,60,750,No,No
Coffs Harbour,116,Oceanview,100,900,No,100,900,No,No
Coffs Harbour,117,Mullaway,150,700,No,150,700,No,No
Coffs Harbour,118,Cabins/South Mullaway,60,650,No,60,650,No,No
Coffs Harbour,119,Mullaway Head,60,50,No,60,50,No,No
Coffs Harbour,120,Safety  (Darkhum),150,1200,No,150,1200,No,No
Coffs Harbour,121,Woolgoolga ,100,1700,Yes,100,1700,Yes,No
Coffs Harbour,122,Woolgoolga Back ,120,1800,No,120,1800,No,No
Coffs Harbour,123,Hearnes Lake,140,2100,No,140,2100,No,No
Coffs Harbour,124,Sandy,140,1200,No,140,1200,No,No
Coffs Harbour,125,Fiddamans,110,1200,No,110,1200,No,No
Coffs Harbour,126,Emerald,100,800,Yes,100,800,Yes,No
Coffs Harbour,127,Shelly,30,625,No,30,625,No,No
Coffs Harbour,128,Moonee,140,4600,No,140,4600,No,No
Coffs Harbour,129,Sapphire,60,2375,No,60,2375,No,No
Coffs Harbour,130,Riecks Point,100,400,No,100,400,No,No
Coffs Harbour,131,Pelican / Nautilus ,60,750,No,60,750,No,No
Coffs Harbour,132,Campbells,60,800,No,60,800,No,No
Coffs Harbour,133,Hills North ,100,150,No,100,150,No,No
Coffs Harbour,134,Hills/Opal Cove,80,600,No,80,600,No,No
Coffs Harbour,135,Korora,70,650,No,70,650,No,No
