Beach_FID,Beach_Name,total_visit_base1,% total,international_visit_beach_base,% international,interstate_visit_beach_base,% interstate,domestic_visit_beach,% domestic
444,Watsons Bay (S),246404.52298182982,0.18050541383903032,2569.6773688338885,0.06869414745752395,3147.5319415784916,0.12459978064827729,240687.31367141745,0.18480115100829878
445,Whiting ,212867.17248523096,0.15593738539054444,2219.9266031463812,0.0593444014688194,2719.131193708525,0.10764089342968206,207928.11468837605,0.15964844318240695
446,Ashton Reserve,183359.52018580041,0.13432134147515054,1912.200326843985,0.051118079185230786,2342.205165689552,0.0927197103301906,179105.1146932669,0.13751797235135996
447,Athol ,213990.9047096787,0.1567605835516965,2231.64566264597,0.05965768235423014,2733.4855692996325,0.10820913295296326,209025.77347773308,0.16049123212958213
448,Gibsons ,254145.19863222074,0.18617590172114826,2650.402506496068,0.07085213996559166,3246.4100935059178,0.12851402084336985,248248.38603221875,0.1906065873390257
449,Kutti ,255959.76776085573,0.1875051774484771,2669.3260926689636,0.07135801655335022,3269.589109148427,0.12943159700091356,250020.85255903835,0.191967497680678
45,Angels North,150537.9414530134,0.11027765680443968,1569.9141258506916,0.04196788039028279,1922.947571777246,0.07612276859736113,147045.07975538546,0.11290208683786293
450,Quarantine Reserve,130335.67535008253,0.0954783407883751,1359.23087468441,0.036335770111390164,1664.8870577827815,0.06590705544988262,127311.55741761535,0.09775057101494583
451,Shark,266917.59539687005,0.19553241326492918,2783.6019239203442,0.07441290620526625,3409.5626456618384,0.13497265973509767,260724.43082728787,0.2001857687382889
452,Parsley Bay ,330977.95975539234,0.24246029607845535,3451.667860938424,0.09227204313251974,4227.859487649902,0.16736616960548767,323298.432406804,0.2482304593316466
453,Bradleys Head,179100.01861781944,0.13120101282220165,1867.7792884259538,0.04993058950255155,2287.7949743579115,0.09056580116237664,174944.44435503558,0.13432338491863421
454,Vaucluse Park,330180.44081165985,0.24187606781332113,3443.3507799200834,0.09204970596411897,4217.672108298926,0.16696288688872013,322519.41792344087,0.2476323273778612
455,Milk,261072.37325201416,0.19125045354491185,2722.6438908466243,0.07278333972214505,3334.8967134625764,0.13201689663352875,255014.83264770496,0.1958019052961871
456,Bayview Park,122257.93821365628,0.08956093607904252,1274.9906259273137,0.034083809557834556,1561.7033363766182,0.0618223728184386,119421.24425135234,0.09169234163551138
457,Little Bay,280553.07017916813,0.20552117884717405,2925.8021178833483,0.07821428656960978,3583.7400182867614,0.14186773270839204,274043.52804299805,0.21041225080046735
458,Hermit,282080.88985123066,0.206640394188028,2941.735281720799,0.07864022140461649,3603.2561422628773,0.14264030779632242,275535.89842724695,0.21155810165788477
459,Queens,264474.89961960725,0.19374299882228035,2758.127797139649,0.07373191666056755,3378.3600407362073,0.13373745774142426,258338.41178173138,0.19835376912343372
46,Angels South,62669.98010600841,0.045909346782376334,653.5660451150358,0.017471517172109725,800.5362960658811,0.03169043197724312,61215.87776482749,0.047001915050526734
460,Lady Martins ,279875.9454950274,0.20502514626687743,2918.7405917568844,0.07802551364313669,3575.090535939714,0.1415253299550072,273382.1143673308,0.20990441344630248
461,Carthona Ave,294141.0755033076,0.21547517033482874,3067.5072673931613,0.08200243311048662,3757.311023650246,0.14873880172265763,287316.25721226423,0.22060313120079605
462,Rose Bay,270646.095587534,0.1982637530218878,2822.4853114641282,0.07545236010324445,3457.1899103819887,0.13685805656256628,264366.4203656879,0.20298210996787003
463,Bellamy,292047.3804105758,0.21394141886552565,3045.672761955018,0.08141874009344822,3730.5664976141547,0.14768007947948703,285271.1411510066,0.21903287892492446
464,Seven Shillings ,292644.7836575536,0.2143790509309584,3051.902897608574,0.08158528779412708,3738.197631081637,0.14798216936254288,285854.6831288634,0.21948092592634144
465,Double Bay,302682.4547446674,0.2217322194184263,3156.5826977851993,0.08438365062222812,3866.417235102784,0.15305793502032738,295659.4548117794,0.22700908794176894
466,North Bondi,4470473.950537216,3.274877996285117,46621.20483682846,1.246305843119074,57105.11878204464,2.260591919702094,4366747.626918343,3.352814800695908
467,Bondi,4563802.511,3.3432465076479465,1439999.9999999965,38.49493852363406,528440.0304658639,20.919092515641,2595362.48053414,1.9927347493737886
468,Tamarama,1155407.73,0.8464022816328086,12049.39365409161,0.32211157497314163,14758.993429637105,0.5842569283029752,1128599.3429162714,0.8665452882276474
469,Bronte,1081893.407,0.7925488331017941,11282.735275372745,0.30161680611382796,13819.933232990139,0.547082819607811,1056790.7384916372,0.8114102146438007
47,Shelly,207850.2336,0.1522621905575725,2167.6064827275095,0.057945748816684954,2655.0456193079094,0.10510396968712868,203027.5814979646,0.15588578465118602
470,Clovelly,3183797.283,2.3323137059049595,33202.84760228696,0.8875983175414097,40669.31695280718,1.6099560117231844,3109925.1184449056,2.387819003301662
471,Gordons Bay,162414.55425449295,0.11897795533303074,1693.7716864385218,0.04527891454341877,2074.6575229503615,0.08212843493822475,158646.12504510407,0.12180943841255457
472,Coogee,3966726.741,2.9058543378416513,41367.77933839935,1.1058681406187125,50670.33254796103,2.0058612392301804,3874688.6291136397,2.9750089754896845
473,Cooks River,99859.86370993404,0.07315306475198109,1041.407960880556,0.02783953849452792,1275.593917291321,0.050496301623254504,97542.86183176216,0.07489398948447262
474,Maroubra,3570214.005,2.61538606786836,37232.669350062235,0.9953259150704467,45605.342316857554,1.805355991469402,3487375.9933330803,2.6776280300609625
475,Kyeemagh ,96558.77179230933,0.0707348260139062,1006.9818834266683,0.02691924006730759,1233.4262974478465,0.04882703304060687,94318.36361143482,0.07241820057208231
476,Maroubra South,484199.0450373539,0.3547035092832929,5049.563672722102,0.13498794663375943,6185.08110928327,0.24484572795852613,472964.40025534853,0.36314487963607917
477,Foreshore,90290.26900422048,0.06614278900004614,941.6095860512173,0.025171668839101533,1153.3534460544538,0.04565722891957376,88195.30597211482,0.06771688049760068
478,Brighton-Le-Sands,569805.8484433618,0.4174153917164634,5942.330829219678,0.15885393052632463,7278.608715335812,0.28813466112139385,556584.9088988063,0.4273492035345412
479,Malabar,200873.39464414984,0.14715125676555413,2094.847164213677,0.056000703335288074,2565.924595070792,0.10157598005042122,196212.62288486536,0.15065321889371536
48,Lighthouse,86167.90486,0.06312292135783339,898.6187118607273,0.024022411159212505,1100.695026226249,0.04357266625852298,84168.591121913,0.06462514488533075
480,Monterey ,96560.15933911139,0.07073584247134251,1006.9963537276674,0.026919626896021048,1233.4440217486285,0.048827734683681685,94319.7189636351,0.07241924121956311
481,Little Bay 1,163567.0464638833,0.11982222182897327,1705.7906750203497,0.04560021331187275,2089.379273986343,0.0827112175704232,159771.8765148766,0.12267379708684374
482,Yarra Bay,145106.89065668394,0.10629910129860373,1513.2753590315797,0.04045377910781323,1853.5721980993394,0.07337644020320848,141740.04309955303,0.10882884813996692
483,Little Bay 2,162727.21557734057,0.11920699764438565,1697.032335698159,0.0453660801634166,2078.6514086495804,0.08228653890390122,158951.53183299283,0.12204393156080848
484,Frenchmans Bay (N) ,140740.82233156465,0.10310070639765762,1467.7429685134525,0.039236580098209475,1797.8007400671315,0.07116864324793351,137475.27862298407,0.10555433660868949
485,Frenchmans Bay (S) ,130107.40060452932,0.09531111647399788,1356.8502672165575,0.03627213029324858,1661.9711127165624,0.06579162338362338,127088.5792245962,0.09757936703210549
486,Ramsgate,88488.77937825782,0.06482309475691292,922.8224020092804,0.024669438634430312,1130.3415058858152,0.044746266695671534,86435.61547036274,0.06636577966398506
487,Congwong  / La Perouse,139818.7407180309,0.10242522884866577,1458.126861528721,0.03897951659319981,1786.0222171073356,0.07070237272093283,136574.59163939484,0.10486278378554104
488,Little Congwong ,129759.65681627562,0.09505637424910245,1353.2237536606574,0.03617518417075587,1657.5290892189025,0.06561577920992921,126748.90397339605,0.0973185623538975
489,Dolls Point ,130460.92901718718,0.09557009626730048,1360.5371068502268,0.03637068908841844,1666.4870280805674,0.06597039267785937,127433.9048822564,0.09784451012600126
