LGA_FID,LGA_Name,Beach_ID,Beach_Name,Driving_d
8888,CBD,513,Jibbon,56582.3
8888,CBD,514,Gunyah,56261.7
8888,CBD,515,Bonnie Vale,55309.5
8888,CBD,516,Horderns ,55268.3
8888,CBD,517,Marley,51812.3
8888,CBD,518,Little Marley,51764.8
8888,CBD,519,Wattamolla,49318.2
8888,CBD,520,Garie,53915.4
8888,CBD,521,Little Garie,52890.6
8888,CBD,522,North Era,51475.8
8888,CBD,523,Era,51475.8
8888,CBD,524,Burning Palms,53027.5
8888,CBD,525,Werrong,59513.2
8888,CBD,526,Bulgo,58945.8
8888,CBD,527,Thommos Rock,59254.3
8888,CBD,528,Stanwell Park,58883.4
8888,CBD,529,Coalcliff North,60064.6
8888,CBD,530,Coalcliff,60993.7
8888,CBD,531,Scarborough North,63869
8888,CBD,532,Scarborough,65172.6
8888,CBD,533,Wombarra,65604.2
8888,CBD,534,Coledale,66891
8888,CBD,535,Sharky,67826.5
8888,CBD,536,Brickyard / Long Point,74341.2
8888,CBD,537,Little Austinmer,73782.3
8888,CBD,538,Austinmer,73479
8888,CBD,539,Thirroul,72415.5
8888,CBD,540,McCauleys,72836.2
8888,CBD,541,Sandon Point,72571.6
8888,CBD,542,Bulli,73204.8
8888,CBD,543,Woonona,74461.5
8888,CBD,544,Bellambi ,77421.3
8888,CBD,545,Bellambi Point,78063.6
8888,CBD,546,East Corrimal,77953.6
8888,CBD,547,Corrimal,78016.4
8888,CBD,548,Towradgi,78804.7
8888,CBD,549,Fairy Meadow,79636.4
8888,CBD,550,Puckey's ,79917.4
8888,CBD,551,North Wollongong,83874.7
8888,CBD,552,Belmore / Wollongong Harbour (Brighton),84526.9
8888,CBD,553,Wollongong City,84806.3
8888,CBD,554,Wollongong South,87288.4
8888,CBD,555,Port Kembla Harbour,93002.2
8888,CBD,556,MM,94318.8
8888,CBD,557,Fishermans ,95064.4
8888,CBD,558,Port Kembla,94486.9
8888,CBD,559,Perkins - Windang,97358.4
8888,CBD,560,Windang  (South),99375.2
8888,CBD,561,Warilla North,100769.9
8888,CBD,562,Warilla,100661.4
8888,CBD,563,Warilla South,102347.6
8888,CBD,564,Shellharbour North /Nuns,103860
8888,CBD,565,Shellharbour / Boatharbour,104696.9
8888,CBD,566,Shellharbour South,105234.8
8888,CBD,567,The Jetty (Shallows),106678.3
8888,CBD,568,The Middy / Redsands,107651.7
8888,CBD,569,Bushrangers Bay,109129.4
8888,CBD,570,Maloneys,107874.1
8888,CBD,571,Killalea / The Farm,113782.4
8888,CBD,572,Minnamurra / Mystics,117385.8
8888,CBD,573,Jones / Boyds,117107.3
8888,CBD,574,The Boneyard  / Cathederal Rocks,119900.2
8888,CBD,575,Kiama / Bombo,120506
8888,CBD,576,Black,121866.1
8888,CBD,577,Surf,122908.9
8888,CBD,578,Kendalls,125583.2
8888,CBD,579,Easts,125182.4
8888,CBD,580,Loves Bay,126012
8888,CBD,581,Werri ,131332.1
8888,CBD,582,Gerringong Harbour / Boat Harbour ,132244.3
8888,CBD,583,Walkers,133523.5
8888,CBD,584,Gerroa / Seven Mile,135429.7
8888,CBD,585,Mid Seven Mile ,139284.6
8888,CBD,586,Seven Mile Beach,140068
8888,CBD,587,Shoalhaven Heads,148517.7
8888,CBD,588,Comerong Island,177394.3
8888,CBD,589,Tilbury Cove,184556.7
8888,CBD,590,Crookhaven / Culburra,184641.8
8888,CBD,591,Warrain North,184641.1
8888,CBD,592,Warrain South,188685.6
8888,CBD,593,Hare Bay,186497.1
8888,CBD,594,Callala Bay,184118
8888,CBD,595,Chinamans,189717.6
8888,CBD,596,Wilson,195789.9
