ID,Column1,Beach,LGA,New Count,CONF,Patrolled,Iconic,Main,National_Park,Open_Coast,Surf,Bay,Length (m),Mean Width (m),Latitude,Longitude,Changing room,Restaurant,Park
728,OEH705,Acheron Ledge North,Eurobodalla,,,0,0,0,0,0,0,1,300,20,-35.71722,150.26132,0,0,0
729,OEH706,North Head ,Eurobodalla,,,0,0,0,0,0,0,1,300,80,-35.71906,150.27151,0,0,0
730,OEH707,Corrigans,Eurobodalla,,,0,0,0,0,0,0,1,2000,100,-35.72619,150.19844,1,1,0
731,,Batehaven / Caseys,Eurobodalla,,,0,0,0,0,0,0,1,1000,40,-35.73574,150.20783,1,0,1
732,OEH710,Sunshine Cove,Eurobodalla,,,0,0,0,0,0,0,1,300,30,-35.74151,150.21217,0,0,0
733,OEH711,Denhams,Eurobodalla,,,0,0,0,0,0,1,0,200,80,-35.75325,150.21209,1,1,1
734,,Surf ,Eurobodalla,,,0,0,0,0,0,1,0,300,80,-35.758778,150.210796,1,0,1
735,OEH712,Wimbie,Eurobodalla,,,0,0,0,0,0,0,1,250,60,-35.7618,150.214,1,0,1
736,OEH713,Circuit,Eurobodalla,,,0,0,0,0,0,0,1,60,30,-35.77088,150.22603,0,0,0
737,OEH714,Lilli Pilli,Eurobodalla,,,0,0,0,0,0,1,0,250,60,-35.77444,150.23118,1,0,1
738,,Mosquito Bay,Eurobodalla,,,0,0,0,0,0,0,1,50,30,-35.78155,150.23275,1,0,1
739,OEH716,Garden Bay,Eurobodalla,,,0,0,0,0,0,0,1,100,30,-35.78538,150.23328,0,0,0
740,OEH717,Malua Bay,Eurobodalla,51554.49879,B,1,0,0,0,0,1,0,400,60,-35.793847,150.22987,1,0,1
